# VFX v1 -> v2 API coverage map. One line per v1 endpoint.
#   STATUS  VERB  /route   # Controller.Action
# STATUS: covered | gap | omit | oos   (see tools/api_drift.py header)
# Regenerate with: python3 tools/api_drift.py genmap
# The drift gate (`check`) fails if any live v1 endpoint is missing here.

omit    GET    /dstapi/dstv1/connecttodecshop/{address}/{**url}              # DSTV1Controller.ConnectToDecShop
omit    GET    /dstapi/dstv1/debug                                           # DSTV1Controller.Debug
omit    GET    /dstapi/dstv1/debugdata                                       # DSTV1Controller.DebugData
covered GET    /dstapi/dstv1/deletechatmessages/{**key}                     # DSTV1Controller.DeleteChatMessages
covered GET    /dstapi/dstv1/deletecollection/{collectionid}                # DSTV1Controller.DeleteCollection
covered GET    /dstapi/dstv1/deletelisting/{listingid}                      # DSTV1Controller.DeleteListing
omit    GET    /dstapi/dstv1/getallcollections                               # DSTV1Controller.GetAllCollections
covered GET    /dstapi/dstv1/getauctionbylisting/{listingid}                # DSTV1Controller.GetAuctionByListing
covered GET    /dstapi/dstv1/getbids/{sendreceive}                          # DSTV1Controller.GetBids
covered GET    /dstapi/dstv1/getbidsbystatus/{bidstatus}/{sendreceive}      # DSTV1Controller.GetBidsByStatus
covered GET    /dstapi/dstv1/getcollection/{collectionid}                   # DSTV1Controller.GetCollection
covered GET    /dstapi/dstv1/getcollectionlistings/{collectionid}           # DSTV1Controller.GetCollectionListings
omit    GET    /dstapi/dstv1/getconnections                                  # DSTV1Controller.GetConnections
omit    GET    /dstapi/dstv1/getdecshop                                      # DSTV1Controller.GetDecShop
omit    GET    /dstapi/dstv1/getdecshopbyurl/{**url}                         # DSTV1Controller.GetDecShopByURL
omit    GET    /dstapi/dstv1/getdecshopdata                                  # DSTV1Controller.GetDecShopData
omit    GET    /dstapi/dstv1/getdecshopstatetreilist                         # DSTV1Controller.GetDecShopStateTreiList
covered GET    /dstapi/dstv1/getdefaultcollection                           # DSTV1Controller.GetDefaultCollection
covered GET    /dstapi/dstv1/getdefaultcollectionchange/{collectionid}      # DSTV1Controller.GetDefaultCollectionChange
covered GET    /dstapi/dstv1/getdeletedecshop                               # DSTV1Controller.GetDeleteDecShop
covered GET    /dstapi/dstv1/getdeletelocaldecshop                          # DSTV1Controller.GetDeleteLocalDecShop
covered GET    /dstapi/dstv1/getdetailedchatmessages/{**shopurl}            # DSTV1Controller.GetDetailedChatMessages
covered GET    /dstapi/dstv1/getdetailedshopchatmessages                    # DSTV1Controller.GetDetailedShopChatMessages
covered GET    /dstapi/dstv1/getdetailedspecificshopchatmessages/{vfxaddress} # DSTV1Controller.GetDetailedSpecificShopChatMessages
covered GET    /dstapi/dstv1/getimportdecshopfromnetwork/{address}          # DSTV1Controller.GetImportDecShopFromNetwork
covered GET    /dstapi/dstv1/getlisting/{listingid}                         # DSTV1Controller.GetListing
covered GET    /dstapi/dstv1/getlistingbids/{listingid}/{sendreceive}       # DSTV1Controller.GetListingBids
covered GET    /dstapi/dstv1/getmostrecentchatmessages/{key}                # DSTV1Controller.GetMostRecentChatMessages
omit    GET    /dstapi/dstv1/getnetworkdecshopinfo/{**url}                   # DSTV1Controller.GetNetworkDecShopInfo
omit    GET    /dstapi/dstv1/getnftassets/{scuid}                            # DSTV1Controller.GetNFTAssets
omit    GET    /dstapi/dstv1/getpublishdecshop                               # DSTV1Controller.GetPublishDecShop
covered GET    /dstapi/dstv1/getresetauction/{listingid}                    # DSTV1Controller.GetResetAuction
omit    GET    /dstapi/dstv1/getsetshopstatus                                # DSTV1Controller.GetSetShopStatus
covered GET    /dstapi/dstv1/getshopauctions/{page}                         # DSTV1Controller.GetShopAuctions
omit    GET    /dstapi/dstv1/getshopcollections                              # DSTV1Controller.GetShopCollections
omit    GET    /dstapi/dstv1/getshopinfo                                     # DSTV1Controller.GetShopInfo
covered GET    /dstapi/dstv1/getshoplistingbids/{listingid}                 # DSTV1Controller.GetShopListingBids
covered GET    /dstapi/dstv1/getshoplistings/{page}                         # DSTV1Controller.GetShopListings
covered GET    /dstapi/dstv1/getshoplistingsbycollection/{collectionid}/{page} # DSTV1Controller.GetShopListingsByCollection
covered GET    /dstapi/dstv1/getshopspecificauction/{listingid}             # DSTV1Controller.GetShopSpecificAuction
covered GET    /dstapi/dstv1/getshopspecificlisting/{scuid}                 # DSTV1Controller.GetShopSpecificListing
covered GET    /dstapi/dstv1/getsimplechatmessages/{**shopurl}              # DSTV1Controller.GetSimpleChatMessages
covered GET    /dstapi/dstv1/getsimpleshopchatmessages                      # DSTV1Controller.GetSimpleShopChatMessages
covered GET    /dstapi/dstv1/getsimplespecificshopchatmessages/{vfxaddress} # DSTV1Controller.GetSimpleSpecificShopChatMessages
covered GET    /dstapi/dstv1/getsinglebids/{bidid}                          # DSTV1Controller.GetSingleBids
covered GET    /dstapi/dstv1/getspecificchatmessages/{messageid}            # DSTV1Controller.GetSpecificChatMessages
covered GET    /dstapi/dstv1/getsummarychatmessages                         # DSTV1Controller.GetSummaryChatMessages
covered GET    /dstapi/dstv1/getupdatedecshop                               # DSTV1Controller.GetUpdateDecShop
covered GET    /dstapi/dstv1/pingshop/{pingid}                              # DSTV1Controller.PingShop
covered GET    /dstapi/dstv1/resendbid/{bidid}                              # DSTV1Controller.ResendBid
covered GET    /dstapi/dstv1/resendchatmessage/{messageid}/{**shopurl}      # DSTV1Controller.ResendChatMessage
covered GET    /dstapi/dstv1/retrysale/{listingid}                          # DSTV1Controller.RetrySale
covered POST   /dstapi/dstv1/savecollection                                 # DSTV1Controller.SaveCollection
covered POST   /dstapi/dstv1/savedecshop                                    # DSTV1Controller.SaveDecShop
